,GISJOIN,YEAR,STATE,COUNTY,TRACT,tot_age25,less_hs,hs,some_college,college,graduate,hinc
1,G1300630040202,2013-2017,Georgia,Clayton County,40202,1393,318,581,338,123,33,31524
2,G1300630040203,2013-2017,Georgia,Clayton County,40203,2134,306,688,753,265,122,36786
3,G1300630040204,2013-2017,Georgia,Clayton County,40204,2452,190,877,825,371,189,39194
4,G1300630040302,2013-2017,Georgia,Clayton County,40302,3520,1034,1347,855,235,49,33190
5,G1300630040303,2013-2017,Georgia,Clayton County,40303,4072,1059,1319,1075,530,89,37236
6,G1300630040306,2013-2017,Georgia,Clayton County,40306,1959,781,430,567,169,12,27372
7,G1300630040307,2013-2017,Georgia,Clayton County,40307,3098,979,1087,787,214,31,37064
8,G1300630040308,2013-2017,Georgia,Clayton County,40308,3089,1001,1127,703,245,13,25159
9,G1300630040407,2013-2017,Georgia,Clayton County,40407,2421,618,914,582,209,98,45768
10,G1300630040408,2013-2017,Georgia,Clayton County,40408,4892,989,1879,1426,431,167,37224
11,G1300630040409,2013-2017,Georgia,Clayton County,40409,3685,742,1244,1074,425,200,42280
12,G1300630040410,2013-2017,Georgia,Clayton County,40410,4574,1311,1118,1561,425,159,45051
13,G1300630040411,2013-2017,Georgia,Clayton County,40411,8666,750,2335,2893,1736,952,69158
14,G1300630040412,2013-2017,Georgia,Clayton County,40412,5329,1059,1626,1736,496,412,43321
15,G1300630040413,2013-2017,Georgia,Clayton County,40413,4481,632,1550,869,953,477,55666
16,G1300630040414,2013-2017,Georgia,Clayton County,40414,1119,310,347,361,41,60,35000
17,G1300630040415,2013-2017,Georgia,Clayton County,40415,3478,769,1104,1033,396,176,36500
18,G1300630040416,2013-2017,Georgia,Clayton County,40416,2321,675,711,638,272,25,53094
19,G1300630040417,2013-2017,Georgia,Clayton County,40417,2692,361,1170,807,252,102,35128
20,G1300630040509,2013-2017,Georgia,Clayton County,40509,2915,263,962,878,358,454,59773
21,G1300630040510,2013-2017,Georgia,Clayton County,40510,2164,287,892,593,304,88,43833
22,G1300630040512,2013-2017,Georgia,Clayton County,40512,3384,458,1173,1068,474,211,36414
23,G1300630040513,2013-2017,Georgia,Clayton County,40513,3103,581,1164,915,283,160,64038
24,G1300630040514,2013-2017,Georgia,Clayton County,40514,4440,497,1447,1553,607,336,44922
25,G1300630040515,2013-2017,Georgia,Clayton County,40515,4820,555,1762,1852,369,282,42407
26,G1300630040516,2013-2017,Georgia,Clayton County,40516,3617,524,1172,1368,361,192,43485
27,G1300630040518,2013-2017,Georgia,Clayton County,40518,3125,557,1056,1109,266,137,41375
28,G1300630040519,2013-2017,Georgia,Clayton County,40519,2658,265,1024,852,425,92,32568
29,G1300630040520,2013-2017,Georgia,Clayton County,40520,2390,304,793,927,284,82,32414
30,G1300630040521,2013-2017,Georgia,Clayton County,40521,2057,334,697,755,187,84,30550
31,G1300630040522,2013-2017,Georgia,Clayton County,40522,2910,428,999,974,331,178,33333
32,G1300630040523,2013-2017,Georgia,Clayton County,40523,1926,253,541,695,367,70,44353
33,G1300630040524,2013-2017,Georgia,Clayton County,40524,4948,612,1241,2091,775,229,43407
34,G1300630040525,2013-2017,Georgia,Clayton County,40525,1852,247,497,731,259,118,41819
35,G1300630040526,2013-2017,Georgia,Clayton County,40526,3713,277,1635,957,686,158,50752
36,G1300630040606,2013-2017,Georgia,Clayton County,40606,2290,492,691,774,216,117,44063
37,G1300630040608,2013-2017,Georgia,Clayton County,40608,7626,371,2247,2715,1634,659,60957
38,G1300630040609,2013-2017,Georgia,Clayton County,40609,4120,474,1388,1630,379,249,57092
39,G1300630040611,2013-2017,Georgia,Clayton County,40611,3638,924,1259,1051,306,98,30318
40,G1300630040612,2013-2017,Georgia,Clayton County,40612,4357,961,1832,1126,244,194,29157
41,G1300630040613,2013-2017,Georgia,Clayton County,40613,4986,481,1712,1418,884,491,52431
42,G1300630040614,2013-2017,Georgia,Clayton County,40614,3427,356,996,1016,611,448,68030
43,G1300630040615,2013-2017,Georgia,Clayton County,40615,1200,87,423,490,132,68,66250
44,G1300630040616,2013-2017,Georgia,Clayton County,40616,5324,295,1704,2013,957,355,48285
45,G1300630040617,2013-2017,Georgia,Clayton County,40617,648,388,156,60,36,8,33182
46,G1300630040619,2013-2017,Georgia,Clayton County,40619,1747,132,728,461,256,170,62500
47,G1300630040620,2013-2017,Georgia,Clayton County,40620,2593,276,703,1064,324,226,60893
48,G1300630040621,2013-2017,Georgia,Clayton County,40621,6237,543,1541,2303,1034,816,52705
49,G1300630040622,2013-2017,Georgia,Clayton County,40622,4922,704,1892,1446,526,354,48278
50,G1300670030101,2013-2017,Georgia,Cobb County,30101,5383,430,1290,1991,1211,461,81010
51,G1300670030103,2013-2017,Georgia,Cobb County,30103,6483,408,1267,1960,1854,994,76602
52,G1300670030104,2013-2017,Georgia,Cobb County,30104,2406,325,573,916,485,107,50000
53,G1300670030106,2013-2017,Georgia,Cobb County,30106,4735,441,1452,1605,910,327,51653
54,G1300670030107,2013-2017,Georgia,Cobb County,30107,3283,225,442,1193,936,487,83697
55,G1300670030209,2013-2017,Georgia,Cobb County,30209,5196,91,1286,1568,1624,627,87430
56,G1300670030214,2013-2017,Georgia,Cobb County,30214,5686,438,1080,1487,2050,631,80086
57,G1300670030215,2013-2017,Georgia,Cobb County,30215,5783,505,1288,1500,1856,634,73199
58,G1300670030218,2013-2017,Georgia,Cobb County,30218,3475,158,454,754,1261,848,137260
59,G1300670030219,2013-2017,Georgia,Cobb County,30219,6517,315,1033,1894,2387,888,108099
60,G1300670030220,2013-2017,Georgia,Cobb County,30220,1174,41,245,332,340,216,85509
61,G1300670030222,2013-2017,Georgia,Cobb County,30222,3772,115,676,965,1462,554,92587
62,G1300670030223,2013-2017,Georgia,Cobb County,30223,4025,367,850,1308,1085,415,66722
63,G1300670030224,2013-2017,Georgia,Cobb County,30224,3995,352,623,1212,1220,588,73061
64,G1300670030226,2013-2017,Georgia,Cobb County,30226,6038,164,852,1868,2312,842,80265
65,G1300670030227,2013-2017,Georgia,Cobb County,30227,5132,626,1032,1859,1133,482,62581
66,G1300670030228,2013-2017,Georgia,Cobb County,30228,3943,203,760,1523,909,548,46363
67,G1300670030229,2013-2017,Georgia,Cobb County,30229,2303,68,624,774,589,248,55738
68,G1300670030230,2013-2017,Georgia,Cobb County,30230,9192,659,1764,2528,2600,1641,65966
69,G1300670030231,2013-2017,Georgia,Cobb County,30231,5389,99,902,1567,1851,970,100777
70,G1300670030232,2013-2017,Georgia,Cobb County,30232,4267,207,631,1165,1467,797,109602
71,G1300670030233,2013-2017,Georgia,Cobb County,30233,2828,64,441,746,949,628,104167
72,G1300670030234,2013-2017,Georgia,Cobb County,30234,4585,227,1183,1262,1254,659,111250
73,G1300670030235,2013-2017,Georgia,Cobb County,30235,3243,174,427,851,1126,665,104265
74,G1300670030236,2013-2017,Georgia,Cobb County,30236,2864,33,351,635,1236,609,145240
75,G1300670030238,2013-2017,Georgia,Cobb County,30238,4216,196,427,1355,1625,613,117352
76,G1300670030239,2013-2017,Georgia,Cobb County,30239,5278,147,899,1364,1903,965,118327
77,G1300670030310,2013-2017,Georgia,Cobb County,30310,5546,256,1428,1807,1497,558,71193
78,G1300670030311,2013-2017,Georgia,Cobb County,30311,4190,89,847,1308,1424,522,96214
79,G1300670030312,2013-2017,Georgia,Cobb County,30312,4241,140,897,1500,1289,415,78185
80,G1300670030313,2013-2017,Georgia,Cobb County,30313,5990,440,1275,1613,2002,660,93817
81,G1300670030314,2013-2017,Georgia,Cobb County,30314,5845,131,919,1609,2010,1176,99899
82,G1300670030318,2013-2017,Georgia,Cobb County,30318,5531,70,405,891,2272,1893,144698
83,G1300670030319,2013-2017,Georgia,Cobb County,30319,2926,39,277,581,1093,936,102736
84,G1300670030320,2013-2017,Georgia,Cobb County,30320,5607,22,211,810,2824,1740,84238
85,G1300670030322,2013-2017,Georgia,Cobb County,30322,2296,103,128,582,942,541,97629
86,G1300670030324,2013-2017,Georgia,Cobb County,30324,2512,96,467,888,726,335,96940
87,G1300670030326,2013-2017,Georgia,Cobb County,30326,3154,153,300,634,1345,722,139118
88,G1300670030327,2013-2017,Georgia,Cobb County,30327,3160,91,371,770,1166,762,103125
89,G1300670030328,2013-2017,Georgia,Cobb County,30328,4675,144,676,977,1773,1105,125707
90,G1300670030329,2013-2017,Georgia,Cobb County,30329,3191,108,318,823,1350,592,108995
91,G1300670030330,2013-2017,Georgia,Cobb County,30330,4140,117,459,1009,1584,971,110060
92,G1300670030331,2013-2017,Georgia,Cobb County,30331,4175,45,464,863,1762,1041,108750
93,G1300670030332,2013-2017,Georgia,Cobb County,30332,2332,50,158,375,1059,690,119712
94,G1300670030333,2013-2017,Georgia,Cobb County,30333,3999,1,342,662,1856,1138,119177
95,G1300670030334,2013-2017,Georgia,Cobb County,30334,2365,63,216,390,1085,611,106250
96,G1300670030335,2013-2017,Georgia,Cobb County,30335,3372,15,243,521,1569,1024,140179
97,G1300670030336,2013-2017,Georgia,Cobb County,30336,4853,39,291,1030,2095,1398,153313
98,G1300670030337,2013-2017,Georgia,Cobb County,30337,3152,9,182,482,1448,1031,151719
99,G1300670030339,2013-2017,Georgia,Cobb County,30339,4273,97,633,661,1722,1160,61542
100,G1300670030340,2013-2017,Georgia,Cobb County,30340,2705,59,235,528,1303,580,138372
101,G1300670030341,2013-2017,Georgia,Cobb County,30341,2914,106,489,663,1078,578,100154
102,G1300670030342,2013-2017,Georgia,Cobb County,30342,3259,30,148,935,1461,685,109601
103,G1300670030343,2013-2017,Georgia,Cobb County,30343,3061,79,269,426,1432,855,113482
104,G1300670030344,2013-2017,Georgia,Cobb County,30344,2703,114,499,928,862,300,45915
105,G1300670030345,2013-2017,Georgia,Cobb County,30345,3267,379,431,416,1067,974,66117
106,G1300670030405,2013-2017,Georgia,Cobb County,30405,4367,689,980,1519,846,333,48781
107,G1300670030407,2013-2017,Georgia,Cobb County,30407,3860,324,721,1050,1182,583,71364
108,G1300670030408,2013-2017,Georgia,Cobb County,30408,2212,120,331,554,810,397,61307
109,G1300670030409,2013-2017,Georgia,Cobb County,30409,2333,125,316,378,841,673,117721
110,G1300670030410,2013-2017,Georgia,Cobb County,30410,3223,209,471,990,1109,444,57319
111,G1300670030411,2013-2017,Georgia,Cobb County,30411,1704,523,337,431,344,69,36394
112,G1300670030412,2013-2017,Georgia,Cobb County,30412,2882,329,661,979,680,233,38668
113,G1300670030413,2013-2017,Georgia,Cobb County,30413,3612,284,907,988,1116,317,51126
114,G1300670030414,2013-2017,Georgia,Cobb County,30414,2049,139,597,814,383,116,38625
115,G1300670030502,2013-2017,Georgia,Cobb County,30502,5103,320,908,1383,1743,749,96148
116,G1300670030504,2013-2017,Georgia,Cobb County,30504,4490,683,660,1183,1335,629,72306
117,G1300670030505,2013-2017,Georgia,Cobb County,30505,4460,733,933,1369,1119,306,49619
118,G1300670030506,2013-2017,Georgia,Cobb County,30506,3064,325,522,1138,622,457,62415
119,G1300670030507,2013-2017,Georgia,Cobb County,30507,3782,220,826,1042,1209,485,75938
120,G1300670030601,2013-2017,Georgia,Cobb County,30601,5218,171,885,1581,1817,764,62893
121,G1300670030602,2013-2017,Georgia,Cobb County,30602,5183,389,791,1343,1691,969,84304
122,G1300670030700,2013-2017,Georgia,Cobb County,30700,3072,640,712,924,524,272,41972
123,G1300670030800,2013-2017,Georgia,Cobb County,30800,2600,931,493,446,498,232,39648
124,G1300670030901,2013-2017,Georgia,Cobb County,30901,5648,197,1340,1712,1644,755,65973
125,G1300670030902,2013-2017,Georgia,Cobb County,30902,4176,1209,939,765,716,547,60820
126,G1300670030904,2013-2017,Georgia,Cobb County,30904,4079,1044,1154,1065,543,273,38818
127,G1300670030905,2013-2017,Georgia,Cobb County,30905,5321,1070,1645,1544,764,298,54167
128,G1300670031001,2013-2017,Georgia,Cobb County,31001,3106,1324,906,645,188,43,26719
129,G1300670031002,2013-2017,Georgia,Cobb County,31002,5323,1772,1418,1440,484,209,33037
130,G1300670031004,2013-2017,Georgia,Cobb County,31004,4781,1333,1281,1554,511,102,40161
131,G1300670031005,2013-2017,Georgia,Cobb County,31005,3654,852,1207,905,490,200,63617
132,G1300670031101,2013-2017,Georgia,Cobb County,31101,3237,924,668,721,637,287,51506
133,G1300670031106,2013-2017,Georgia,Cobb County,31106,6018,680,1400,1581,1535,822,70933
134,G1300670031108,2013-2017,Georgia,Cobb County,31108,3898,170,591,1257,1275,605,50752
135,G1300670031110,2013-2017,Georgia,Cobb County,31110,2328,299,484,466,655,424,63269
136,G1300670031111,2013-2017,Georgia,Cobb County,31111,2767,37,413,781,1042,494,82757
137,G1300670031112,2013-2017,Georgia,Cobb County,31112,3989,17,369,796,1491,1316,112500
138,G1300670031113,2013-2017,Georgia,Cobb County,31113,761,101,112,212,270,66,35625
139,G1300670031114,2013-2017,Georgia,Cobb County,31114,5452,1054,1079,1536,1112,671,42732
140,G1300670031115,2013-2017,Georgia,Cobb County,31115,3197,405,746,771,783,492,66309
141,G1300670031116,2013-2017,Georgia,Cobb County,31116,2747,596,736,828,381,206,29763
142,G1300670031117,2013-2017,Georgia,Cobb County,31117,3976,155,839,996,1163,823,93631
143,G1300670031118,2013-2017,Georgia,Cobb County,31118,3670,152,645,782,1182,909,77795
144,G1300670031205,2013-2017,Georgia,Cobb County,31205,4506,66,481,1099,1807,1053,81528
145,G1300670031206,2013-2017,Georgia,Cobb County,31206,8274,207,1103,1921,2923,2120,77623
146,G1300670031207,2013-2017,Georgia,Cobb County,31207,3602,59,495,723,1220,1105,77895
147,G1300670031208,2013-2017,Georgia,Cobb County,31208,4595,89,305,649,2273,1279,69737
148,G1300670031209,2013-2017,Georgia,Cobb County,31209,3425,30,241,679,1523,952,139792
149,G1300670031211,2013-2017,Georgia,Cobb County,31211,3386,7,260,778,1517,824,67489
150,G1300670031212,2013-2017,Georgia,Cobb County,31212,1888,9,85,256,832,706,152500
151,G1300670031306,2013-2017,Georgia,Cobb County,31306,2807,560,810,607,565,265,59981
152,G1300670031307,2013-2017,Georgia,Cobb County,31307,4223,385,1253,1162,937,486,70839
153,G1300670031308,2013-2017,Georgia,Cobb County,31308,3648,802,1334,883,396,233,47373
154,G1300670031309,2013-2017,Georgia,Cobb County,31309,4895,1024,1452,1438,503,478,48313
155,G1300670031310,2013-2017,Georgia,Cobb County,31310,4238,1225,1429,1055,290,239,32000
